date,expiry_date,time,strike_price,actual_strike_price,call_start,put_start,call_5%,call_5%_time,call_10%,call_10%_time,call_15%,call_15%_time,call_20%,call_20%_time,call_25%,call_25%_time,call_30%,call_30%_time,call_35%,call_35%_time,call_40%,call_40%_time,call_45%,call_45%_time,call_50%,call_50%_time,put_5%,put_5%_time,put_10%,put_10%_time,put_15%,put_15%_time,put_20%,put_20%_time,put_25%,put_25%_time,put_30%,put_30%_time,put_35%,put_35%_time,put_40%,put_40%_time,put_45%,put_45%_time,put_50%,put_50%_time
06-04-2023,06-04-2023,11:40,41200,41207.2,84.0,99.2,,,,,,,,,,,,,,,,,,,,,5.594758064516126,11:41,10.987903225806443,13:30,15.927419354838706,12:50,20.362903225806452,12:48,25.3024193548387,11:51,30.040322580645157,12:20,35.18145161290322,12:17,40.27217741935484,12:12,45.3125,12:14,50.453629032258064,14:58
13-04-2023,13-04-2023,11:40,41600,41662.35,113.2,60.5,,,10.689045936395754,11:50,15.547703180212022,11:53,20.715547703180214,12:03,25.4416961130742,13:27,,,35.15901060070671,13:04,,,,,50.13250883392225,12:59,5.5371900826446305,12:25,10.743801652892563,12:18,15.371900826446277,12:34,20.41322314049586,12:24,,,,,,,,,,,,
20-04-2023,20-04-2023,11:40,42200,42285.7,137.3,54.9,5.644573925710123,12:31,,,,,,,,,,,,,,,,,,,5.3734061930783295,11:51,10.109289617486347,12:45,15.391621129326053,11:45,20.947176684881615,12:48,,,30.783242258652095,11:47,35.9744990892532,13:40,40.52823315118398,13:03,45.3551912568306,11:48,50.546448087431706,13:45
27-04-2023,27-04-2023,11:40,42800,42829.05,104.0,77.65,5.86538461538461,12:20,10.913461538461533,12:43,15.961538461538455,11:52,20.144230769230774,12:10,25.721153846153843,11:58,30.528846153846157,11:56,35.14423076923078,14:47,,,45.91346153846153,14:51,,,,,,,,,,,,,,,,,,,,,,
04-05-2023,04-05-2023,11:40,43400,43402.7,80.35,80.0,5.538270068450533,12:54,10.454262601120107,13:08,15.743621655258252,14:00,,,25.32669570628501,14:14,30.49159925326696,13:34,35.34536403235844,13:30,40.821406347230884,13:28,45.73739887990044,13:42,50.09334163036715,13:44,,,10.562500000000004,11:49,15.875000000000004,11:46,,,,,,,,,,,,,,
11-05-2023,11-05-2023,11:40,43500,43548.6,133.05,69.0,,,,,,,,,,,,,35.62570462232241,14:26,,,,,,,,,,,15.217391304347828,12:23,,,,,,,,,40.362318840579704,11:53,45.94202898550725,12:10,50.72463768115942,12:13
18-05-2023,18-05-2023,11:40,44000,44003.2,89.05,83.9,5.895564289724874,11:41,10.21897810218979,11:47,15.721504772599666,11:51,,,25.09825940482876,11:59,30.376193149915775,11:54,35.541830432341385,11:53,,,,,,,5.482717520858158,12:33,10.369487485101297,12:36,,,20.560190703218115,12:29,25.923718712753274,12:21,30.39332538736591,12:41,35.04171632896304,13:16,40.04767580452919,13:50,45.29201430274136,13:52,50.476758045292,13:53
25-05-2023,25-05-2023,11:40,43400,43488.25,138.4,52.5,5.202312138728315,14:20,10.765895953757228,11:49,15.281791907514455,11:56,20.37572254335259,12:37,,,30.310693641618485,12:09,,,40.823699421965316,14:23,45.23121387283236,12:22,50.14450867052024,12:26,5.999999999999997,13:03,10.285714285714283,13:22,15.714285714285714,13:32,,,25.809523809523803,13:33,,,,,,,,,,
01-06-2023,01-06-2023,11:40,44100,44102.35,86.25,91.85,5.043478260869558,11:42,10.898550724637687,11:54,15.246376811594208,12:40,20.579710144927535,12:33,,,30.66666666666667,13:35,,,,,45.623188405797094,13:15,,,,,10.234077299945572,12:12,15.786608600979859,12:09,20.95808383233533,13:59,,,,,35.710397387044104,14:21,40.33750680457268,14:12,,,,
08-06-2023,08-06-2023,11:40,44400,44441.35,94.15,76.4,,,,,,,,,,,,,,,,,,,,,,,,,15.314136125654434,11:42,20.74607329842931,13:48,25.65445026178009,13:59,30.039267015706788,13:57,35.0130890052356,13:53,,,,,,
15-06-2023,15-06-2023,11:40,43700,43768.3,116.95,62.25,5.4296707994869555,11:58,,,,,,,,,,,,,,,,,,,5.220883534136546,12:02,10.843373493975903,11:45,,,,,,,30.120481927710845,13:53,35.020080321285135,12:49,40.6425702811245,12:48,45.86345381526104,12:35,50.76305220883533,12:42
22-06-2023,22-06-2023,11:40,43900,43929.8,94.75,90.35,5.910290237467013,14:11,,,,,20.52770448548813,14:06,25.488126649076527,14:08,,,,,40.369393139841684,13:38,,,50.131926121372025,13:55,,,10.846707249584961,13:25,15.827338129496415,14:22,20.641947980077486,14:49,25.78859988931933,12:06,30.603209739900393,12:36,35.14111787493083,12:25,40.50913115661318,12:41,45.268400664084126,15:05,50.35971223021583,12:13
