date,token,stoploss,max_order,net_P&L,time,SP_1,SP_time_1,CE_sell_1,PE_sell_1,CE_buy_1,PE_buy_1,start_time_CE_1,start_time_PE_1,end_time_CE_1,end_time_PE_1,SP_2,SP_time_2,CE_sell_2,PE_sell_2,CE_buy_2,PE_buy_2,start_time_CE_2,start_time_PE_2,end_time_CE_2,end_time_PE_2,SP_3,SP_time_3,CE_sell_3,PE_sell_3,CE_buy_3,PE_buy_3,start_time_CE_3,start_time_PE_3,end_time_CE_3,end_time_PE_3,SP_4,SP_time_4,CE_sell_4,PE_sell_4,CE_buy_4,PE_buy_4,start_time_CE_4,start_time_PE_4,end_time_CE_4,end_time_PE_4,SP_5,SP_time_5,CE_sell_5,PE_sell_5,CE_buy_5,PE_buy_5,start_time_CE_5,start_time_PE_5,end_time_CE_5,end_time_PE_5,SP_6,SP_time_6,CE_sell_6,PE_sell_6,CE_buy_6,PE_buy_6,start_time_CE_6,start_time_PE_6,end_time_CE_6,end_time_PE_6,SP_7,SP_time_7,CE_sell_7,PE_sell_7,CE_buy_7,PE_buy_7,start_time_CE_7,start_time_PE_7,end_time_CE_7,end_time_PE_7,SP_8,SP_time_8,CE_sell_8,PE_sell_8,CE_buy_8,PE_buy_8,start_time_CE_8,start_time_PE_8,end_time_CE_8,end_time_PE_8,SP_9,SP_time_9,CE_sell_9,PE_sell_9,CE_buy_9,PE_buy_9,start_time_CE_9,start_time_PE_9,end_time_CE_9,end_time_PE_9,SP_10,SP_time_10,CE_sell_10,PE_sell_10,CE_buy_10,PE_buy_10,start_time_CE_10,start_time_PE_10,end_time_CE_10,end_time_PE_10
2022-03-17,BNF,0.5,3,107.2,2.4283981323242188,36400,09:15:00,190.2,226.8,255.4,141.1,09:15:00,09:15:00,11:31:00,12:08:00,36500,12:09:00,128.95,188.15,142.7,87.7,12:09:00,12:09:00,13:55:00,14:46:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-24,BNF,0.5,3,170.30000000000007,2.0543599128723145,35700,09:15:00,202.55,220.5,218.4,80.8,09:15:00,09:15:00,09:50:00,11:46:00,35800,11:47:00,152.65,128.8,41.8,193.2,11:47:00,11:47:00,13:27:00,11:56:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31,BNF,0.5,3,66.74999999999997,2.081040859222412,36400,09:15:00,183.75,161.35,170.0,121.3,09:15:00,09:15:00,09:34:00,11:54:00,36400,11:55:00,123.6,125.35,158.0,78.0,11:55:00,11:55:00,12:31:00,13:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-07,BNF,0.5,3,69.35000000000002,1.046318531036377,37400,09:15:00,168.55,135.0,223.6,10.6,09:15:00,09:15:00,09:40:00,13:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-13,BNF,0.5,3,122.39999999999999,1.241335153579712,37900,09:15:00,165.95,115.75,43.9,143.4,09:15:00,09:15:00,12:33:00,10:00:00,37700,12:34:00,99.8,139.0,96.5,114.3,12:34:00,12:34:00,13:12:00,13:26:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-21,BNF,0.5,3,69.00000000000001,1.6145176887512207,36500,09:15:00,152.65,121.9,142.2,127.3,09:15:00,09:15:00,11:05:00,10:03:00,36600,11:06:00,91.4,127.9,120.6,95.8,11:06:00,11:06:00,12:44:00,12:55:00,36600,12:56:00,79.55,94.3,100.9,11.9,12:56:00,12:56:00,13:44:00,14:34:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-28,BNF,0.5,3,11.650000000000011,2.190767765045166,36200,09:15:00,125.5,156.05,69.5,234.1,09:15:00,09:15:00,11:46:00,09:24:00,36100,11:47:00,115.6,97.9,173.4,6.4,11:47:00,11:47:00,12:39:00,14:19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-05,BNF,0.5,3,33.75,1.228029727935791,35700,09:15:00,108.25,186.55,162.4,66.8,09:15:00,09:15:00,10:06:00,11:30:00,35800,11:31:00,107.9,123.7,72.4,162.8,11:31:00,11:31:00,12:34:00,11:57:00,35800,12:35:00,85.9,88.55,69.9,132.8,12:35:00,12:35:00,12:50:00,12:46:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-12,BNF,0.5,3,45.50000000000001,1.1543655395507812,34300,09:15:00,140.05,163.25,12.9,244.9,09:15:00,09:15:00,13:17:00,09:21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,BNF,0.5,3,80.25000000000006,1.849132776260376,33600,09:15:00,199.85,239.85,124.7,239.0,09:15:00,09:15:00,10:06:00,11:36:00,33400,11:37:00,136.4,124.15,70.1,186.2,11:37:00,11:37:00,13:42:00,14:11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
